date,merchant,amount,category,description
2026-01-11,SoulCycle,124.88,Health & Fitness,Health & Fitness purchase at SoulCycle
2026-01-12,CVS,113.71,Health & Fitness,Health & Fitness purchase at CVS
2026-01-12,Progressive,169.95,Bills & Utilities,Bills & Utilities purchase at Progressive
2026-01-12,Spotify,75.19,Entertainment,Entertainment purchase at Spotify
2026-01-12,Eataly,77.67,Dining,Dining purchase at Eataly
2026-01-12,Apple Music,16.81,Entertainment,Entertainment purchase at Apple Music
2026-01-13,Nobu,27.5,Dining,Dining purchase at Nobu
2026-01-13,Nordstrom,201.95,Shopping,Shopping purchase at Nordstrom
2026-01-14,Trader Joes,106.46,Groceries,Groceries purchase at Trader Joes
2026-01-15,Seamless,28.21,Dining,Dining purchase at Seamless
2026-01-16,Sweetgreen,63.42,Dining,Dining purchase at Sweetgreen
2026-01-17,Walgreens,112.37,Health & Fitness,Health & Fitness purchase at Walgreens
2026-01-17,Pret A Manger,105.29,Dining,Dining purchase at Pret A Manger
2026-01-17,ComEd,186.46,Bills & Utilities,Bills & Utilities purchase at ComEd
2026-01-18,CVS,70.49,Health & Fitness,Health & Fitness purchase at CVS
2026-01-20,Planet Fitness,143.18,Bills & Utilities,Bills & Utilities purchase at Planet Fitness
2026-01-20,The Capital Grille,31.27,Dining,Dining purchase at The Capital Grille
2026-01-21,Everlane,417.92,Shopping,Shopping purchase at Everlane
2026-01-22,Sprouts,222.58,Groceries,Groceries purchase at Sprouts
2026-01-22,Sephora,194.5,Shopping,Shopping purchase at Sephora
2026-01-23,Apple Store,41.0,Shopping,Shopping purchase at Apple Store
2026-01-23,Lululemon,414.11,Shopping,Shopping purchase at Lululemon
2026-01-23,Bird Scooter,130.67,Transport,Transport purchase at Bird Scooter
2026-01-24,Caviar,81.19,Dining,Dining purchase at Caviar
2026-01-24,Best Buy,433.28,Shopping,Shopping purchase at Best Buy
2026-01-24,Caviar,23.87,Dining,Dining purchase at Caviar
2026-01-25,Bird Scooter,72.1,Transport,Transport purchase at Bird Scooter
2026-01-25,AMC A-List,80.87,Entertainment,Entertainment purchase at AMC A-List
2026-01-25,Uber,63.43,Transport,Transport purchase at Uber
2026-01-25,Joe & The Juice,34.16,Dining,Dining purchase at Joe & The Juice
2026-01-25,AT&T Fiber,205.5,Bills & Utilities,Bills & Utilities purchase at AT&T Fiber
2026-01-25,Postmates,163.19,Dining,Dining purchase at Postmates
2026-01-26,Metra,53.6,Transport,Transport purchase at Metra
2026-01-26,Central Market,105.48,Groceries,Groceries purchase at Central Market
2026-01-27,Lyft,68.27,Transport,Transport purchase at Lyft
2026-01-28,Amazon Prime,79.48,Shopping,Shopping purchase at Amazon Prime
2026-01-28,Eataly,69.51,Dining,Dining purchase at Eataly
2026-01-29,Nordstrom,223.91,Shopping,Shopping purchase at Nordstrom
2026-01-31,Netflix,12.81,Entertainment,Entertainment purchase at Netflix
2026-01-31,Everlane,529.0,Shopping,Shopping purchase at Everlane
2026-01-31,Equinox,178.67,Health & Fitness,Health & Fitness purchase at Equinox
2026-01-31,Via,64.93,Transport,Transport purchase at Via
2026-02-01,Joe & The Juice,77.58,Dining,Dining purchase at Joe & The Juice
2026-02-01,Trader Joes,115.73,Groceries,Groceries purchase at Trader Joes
2026-02-02,One Medical,103.36,Health & Fitness,Health & Fitness purchase at One Medical
2026-02-02,Trader Joes,140.39,Groceries,Groceries purchase at Trader Joes
2026-02-04,Trader Joes,114.51,Groceries,Groceries purchase at Trader Joes
2026-02-04,Metra,130.06,Transport,Transport purchase at Metra
2026-02-05,Sprouts,291.31,Groceries,Groceries purchase at Sprouts
2026-02-07,Bluestone Lane,15.89,Dining,Dining purchase at Bluestone Lane
2026-02-08,Regal Crown Club,88.59,Entertainment,Entertainment purchase at Regal Crown Club
2026-02-08,Caviar,117.38,Dining,Dining purchase at Caviar
2026-02-09,The Capital Grille,17.49,Dining,Dining purchase at The Capital Grille
2026-02-09,Postmates,110.66,Dining,Dining purchase at Postmates
2026-02-09,Caviar,99.38,Dining,Dining purchase at Caviar
2026-02-09,Enterprise Rent-A-Car,234.31,Travel,Travel purchase at Enterprise Rent-A-Car
2026-02-09,Nordstrom,122.48,Shopping,Shopping purchase at Nordstrom
2026-02-09,Central Market,156.69,Groceries,Groceries purchase at Central Market
2026-02-10,Eataly,111.47,Dining,Dining purchase at Eataly
2026-02-10,ZocDoc,56.59,Health & Fitness,Health & Fitness purchase at ZocDoc
2026-02-11,Trader Joes,218.86,Groceries,Groceries purchase at Trader Joes
2026-02-11,Walgreens,275.1,Health & Fitness,Health & Fitness purchase at Walgreens
2026-02-11,Caviar,75.66,Dining,Dining purchase at Caviar
2026-02-12,AMC A-List,75.24,Entertainment,Entertainment purchase at AMC A-List
2026-02-12,Via,128.11,Transport,Transport purchase at Via
2026-02-12,Sephora,85.39,Shopping,Shopping purchase at Sephora
2026-02-13,The Capital Grille,16.55,Dining,Dining purchase at The Capital Grille
2026-02-13,Fresh Direct,82.4,Groceries,Groceries purchase at Fresh Direct
2026-02-14,Warby Parker,240.33,Shopping,Shopping purchase at Warby Parker
2026-02-15,Sephora,133.13,Shopping,Shopping purchase at Sephora
2026-02-15,Seamless,62.74,Dining,Dining purchase at Seamless
2026-02-15,Sweetgreen,81.58,Dining,Dining purchase at Sweetgreen
2026-02-16,Eataly,15.67,Dining,Dining purchase at Eataly
2026-02-16,Via,9.54,Transport,Transport purchase at Via
