date,merchant,amount,category,description
2025-12-20,Whole Foods,99.96,Groceries,Groceries purchase at Whole Foods
2025-12-21,Dave & Busters,27.45,Entertainment,Entertainment purchase at Dave & Busters
2025-12-21,United Airlines,503.05,Travel,Travel purchase at United Airlines
2025-12-21,Hertz Rental,441.86,Travel,Travel purchase at Hertz Rental
2025-12-21,Olive Garden,21.95,Dining,Dining purchase at Olive Garden
2025-12-22,Starbucks,47.34,Dining,Dining purchase at Starbucks
2025-12-22,Shell Gas Station,81.21,Transport,Transport purchase at Shell Gas Station
2025-12-23,United Airlines,317.36,Travel,Travel purchase at United Airlines
2025-12-23,Chipotle,13.17,Dining,Dining purchase at Chipotle
2025-12-23,Airbnb,553.09,Travel,Travel purchase at Airbnb
2025-12-23,Amazon,138.42,Shopping,Shopping purchase at Amazon
2025-12-24,Xfinity Internet,194.14,Bills & Utilities,Bills & Utilities purchase at Xfinity Internet
2025-12-25,Disney+,29.88,Entertainment,Entertainment purchase at Disney+
2025-12-26,Jewel-Osco,74.15,Groceries,Groceries purchase at Jewel-Osco
2025-12-27,Subway,52.71,Dining,Dining purchase at Subway
2025-12-27,Costco,104.96,Groceries,Groceries purchase at Costco
2025-12-27,Xfinity Internet,54.28,Bills & Utilities,Bills & Utilities purchase at Xfinity Internet
2025-12-30,Sephora,201.76,Shopping,Shopping purchase at Sephora
2025-12-30,Peoples Gas,175.92,Bills & Utilities,Bills & Utilities purchase at Peoples Gas
2025-12-31,Hilton Hotel,519.58,Travel,Travel purchase at Hilton Hotel
2025-12-31,CTA Ventra,59.51,Transport,Transport purchase at CTA Ventra
2025-12-31,Dave & Busters,30.01,Entertainment,Entertainment purchase at Dave & Busters
2026-01-01,Trader Joes,167.99,Groceries,Groceries purchase at Trader Joes
2026-01-01,Target,327.02,Shopping,Shopping purchase at Target
2026-01-01,McDonalds,46.36,Dining,Dining purchase at McDonalds
2026-01-01,Hertz Rental,638.08,Travel,Travel purchase at Hertz Rental
2026-01-01,Shell Gas Station,77.21,Transport,Transport purchase at Shell Gas Station
2026-01-02,Parking Garage,50.74,Transport,Transport purchase at Parking Garage
2026-01-02,Walgreens,20.76,Health & Fitness,Health & Fitness purchase at Walgreens
2026-01-02,Parking Garage,22.7,Transport,Transport purchase at Parking Garage
2026-01-05,Uber Eats,46.49,Dining,Dining purchase at Uber Eats
2026-01-05,Trader Joes,143.84,Groceries,Groceries purchase at Trader Joes
2026-01-05,Shake Shack,33.28,Dining,Dining purchase at Shake Shack
2026-01-06,Apple Store,35.58,Shopping,Shopping purchase at Apple Store
2026-01-06,H&M,298.78,Shopping,Shopping purchase at H&M
2026-01-07,Target,92.16,Groceries,Groceries purchase at Target
2026-01-07,Yoga Studio,63.42,Health & Fitness,Health & Fitness purchase at Yoga Studio
2026-01-08,Chipotle,53.75,Dining,Dining purchase at Chipotle
2026-01-08,Uber Eats,31.98,Dining,Dining purchase at Uber Eats
2026-01-10,Walmart,160.27,Groceries,Groceries purchase at Walmart
2026-01-10,Pizza Hut,50.09,Dining,Dining purchase at Pizza Hut
2026-01-10,Jewel-Osco,150.75,Groceries,Groceries purchase at Jewel-Osco
2026-01-11,Shake Shack,29.44,Dining,Dining purchase at Shake Shack
2026-01-11,CVS Pharmacy,35.43,Health & Fitness,Health & Fitness purchase at CVS Pharmacy
2026-01-11,Subway,31.35,Dining,Dining purchase at Subway
2026-01-12,Hertz Rental,621.21,Travel,Travel purchase at Hertz Rental
2026-01-13,Best Buy,334.3,Shopping,Shopping purchase at Best Buy
2026-01-16,Costco,85.01,Groceries,Groceries purchase at Costco
2026-01-17,Mariano's,56.13,Groceries,Groceries purchase at Mariano's
2026-01-17,DoorDash,42.31,Dining,Dining purchase at DoorDash
2026-01-17,Pizza Hut,22.41,Dining,Dining purchase at Pizza Hut
2026-01-17,Shake Shack,35.15,Dining,Dining purchase at Shake Shack
2026-01-20,Target,62.65,Groceries,Groceries purchase at Target
2026-01-20,Mariano's,117.92,Groceries,Groceries purchase at Mariano's
2026-01-22,Starbucks,49.82,Dining,Dining purchase at Starbucks
2026-01-22,Subway,12.8,Dining,Dining purchase at Subway
2026-01-23,GNC,16.61,Health & Fitness,Health & Fitness purchase at GNC
2026-01-24,Lyft,38.94,Transport,Transport purchase at Lyft
2026-01-26,Grubhub,51.09,Dining,Dining purchase at Grubhub
2026-01-26,Amazon,333.26,Shopping,Shopping purchase at Amazon
2026-01-27,Peoples Gas,166.0,Bills & Utilities,Bills & Utilities purchase at Peoples Gas
2026-01-27,Sephora,137.25,Shopping,Shopping purchase at Sephora
2026-01-27,CTA Ventra,73.98,Transport,Transport purchase at CTA Ventra
2026-01-27,Disney+,38.01,Entertainment,Entertainment purchase at Disney+
2026-01-28,Chick-fil-A,29.54,Dining,Dining purchase at Chick-fil-A
2026-01-28,Uber Eats,36.9,Dining,Dining purchase at Uber Eats
2026-01-30,Zara,332.15,Shopping,Shopping purchase at Zara
2026-01-31,Trader Joes,40.86,Groceries,Groceries purchase at Trader Joes
2026-01-31,Apple Store,260.33,Shopping,Shopping purchase at Apple Store
2026-02-01,Chevron,39.81,Transport,Transport purchase at Chevron
2026-02-01,Mariano's,161.07,Groceries,Groceries purchase at Mariano's
2026-02-02,Subway,31.16,Dining,Dining purchase at Subway
2026-02-02,Whole Foods,80.67,Groceries,Groceries purchase at Whole Foods
2026-02-03,ComEd Electric,82.44,Bills & Utilities,Bills & Utilities purchase at ComEd Electric
2026-02-03,Chipotle,38.2,Dining,Dining purchase at Chipotle
2026-02-03,Target,111.71,Shopping,Shopping purchase at Target
2026-02-04,CTA Ventra,16.66,Transport,Transport purchase at CTA Ventra
2026-02-05,State Farm Insurance,149.92,Bills & Utilities,Bills & Utilities purchase at State Farm Insurance
2026-02-06,Five Guys,56.24,Dining,Dining purchase at Five Guys
2026-02-06,Uber,75.08,Transport,Transport purchase at Uber
2026-02-08,Target,128.64,Shopping,Shopping purchase at Target
2026-02-09,Nike.com,200.29,Shopping,Shopping purchase at Nike.com
2026-02-09,State Farm Insurance,54.52,Bills & Utilities,Bills & Utilities purchase at State Farm Insurance
